TF,size,nes,pval,pval.fdr
SMAD3,33,2.94445102602564,0.00323528144435588,0.305771432497735
RUNX1,20,2.79270942531592,0.00522686209397838,0.305771432497735
FLI1,13,2.38461259002138,0.0170971154124544,0.618460066479286
NFATC2,10,2.30540442524686,0.0211439338967277,0.618460066479286
KLF4,12,2.09498318924325,0.0361724868921907,0.846436193277263
RXRA,12,-1.93082795554763,0.053504331980085,0.970619631115106
HIF1A,144,1.84568779292902,0.0649375506834551,0.970619631115106
CREB1,74,1.80258779716267,0.0714529748822329,0.970619631115106
NR5A1,15,1.72288047620416,0.0849101416598934,0.970619631115106
SREBF1,23,1.69656582895453,0.0897787747435305,0.970619631115106
REL,20,-1.62696418420247,0.103744704740839,0.970619631115106
RELA,142,1.6027838539725,0.108982382732305,0.970619631115106
STAT3,75,1.58432618295012,0.113119510447173,0.970619631115106
NFE2L2,11,1.45374372837154,0.146017369767429,0.970619631115106
REST,12,1.44354799105616,0.148866163676494,0.970619631115106
TFAP2C,15,1.4421696099552,0.149254531522869,0.970619631115106
ESR1,153,1.37729892823575,0.168419846464984,0.970619631115106
GATA3,69,1.32796136023189,0.184190872135106,0.970619631115106
GATA1,15,-1.29620258837535,0.194905698041857,0.970619631115106
FOXA1,30,-1.2394807513807,0.215167512839067,0.970619631115106
CEBPD,14,-1.19781900335341,0.230987487440243,0.970619631115106
HSF1,12,-1.18679610390802,0.235308056011018,0.970619631115106
ERG,12,1.18658053553743,0.235393117312308,0.970619631115106
ETS2,30,1.18260921828408,0.236964057432265,0.970619631115106
FOSL2,10,-1.12290609954895,0.261477376729009,0.970619631115106
NFIC,27,-1.07530694297261,0.282237328777092,0.970619631115106
E2F1,308,-1.01974297804829,0.307850372958072,0.970619631115106
PPARA,31,1.00710473923763,0.313884443992211,0.970619631115106
MITF,34,-1.00666014584805,0.314098120377907,0.970619631115106
CEBPB,41,-0.98924930711346,0.322541179563348,0.970619631115106
STAT1,281,0.961161048638857,0.336471197960585,0.970619631115106
TAL1,18,-0.955820737346256,0.339162809502764,0.970619631115106
BACH1,24,-0.946549166090901,0.343868557615576,0.970619631115106
CTCF,110,0.931477892973501,0.351606414903781,0.970619631115106
FOS,86,-0.92428983896781,0.355335431664501,0.970619631115106
MYC,368,-0.912795702019079,0.361349999212578,0.970619631115106
STAT4,10,-0.912686544045855,0.361407422883119,0.970619631115106
ATF4,15,0.89447806504034,0.371066160770933,0.970619631115106
TFDP1,12,0.873593903108173,0.382339447667974,0.970619631115106
E2F4,218,-0.865610601198072,0.386703740033401,0.970619631115106
JUN,118,-0.841778087891214,0.399912179324825,0.970619631115106
RARA,36,-0.840088046731892,0.40085902163378,0.970619631115106
SMAD4,26,0.839649728745188,0.401104808168629,0.970619631115106
FOXM1,34,-0.835222222630079,0.403592599667181,0.970619631115106
LEF1,21,-0.810515232368676,0.417644114024572,0.970619631115106
FOXP1,159,0.805997680998955,0.420244186233557,0.970619631115106
AR,130,0.804942723543964,0.420852732671997,0.970619631115106
WT1,29,-0.787755475715714,0.43083974921624,0.970619631115106
TFAP2A,62,-0.731114269619757,0.464709359001822,0.970619631115106
STAT5B,16,0.727093718429299,0.467168546524609,0.970619631115106
NR3C1,10,0.719234870370434,0.471996217538907,0.970619631115106
STAT5A,21,0.717368121380382,0.473146984298303,0.970619631115106
SP3,73,0.713519078001936,0.475524611979936,0.970619631115106
NFKB2,17,-0.711936047395306,0.476504378894342,0.970619631115106
PRDM14,180,0.703363398818522,0.481829310089148,0.970619631115106
STAT2,38,0.692458925933273,0.488649171647753,0.970619631115106
YY1,65,0.674024486600112,0.500295746133612,0.970619631115106
ATF6,10,0.658046103538944,0.510508506670224,0.970619631115106
RUNX3,12,-0.653204879401412,0.51362420499293,0.970619631115106
EGR1,124,-0.637401707222147,0.523863216630859,0.970619631115106
TP63,19,-0.627374868805886,0.530413537261566,0.970619631115106
E2F2,14,-0.626841426054062,0.530763185663639,0.970619631115106
SRF,10,-0.610824442065425,0.541315810302957,0.970619631115106
ZEB1,15,0.587412155932015,0.556926931714156,0.970619631115106
ETV4,15,0.54127918774096,0.588315163366945,0.970619631115106
TWIST1,15,0.532246653864735,0.594555174367451,0.970619631115106
FOXA2,11,-0.528855931387726,0.596905394470989,0.970619631115106
RFX5,14,0.516326320469661,0.605626516183894,0.970619631115106
CEBPA,143,-0.513147375470214,0.607848234043071,0.970619631115106
ESR2,16,0.508482770157938,0.611114819323578,0.970619631115106
POU2F1,32,0.507737630967186,0.611637354171597,0.970619631115106
IRF9,12,0.49818259935798,0.618355345851203,0.970619631115106
NFYA,10,-0.466447825768195,0.640894985091964,0.970619631115106
SOX10,16,0.46130494670274,0.644579836434951,0.970619631115106
ATF2,24,0.457980559587599,0.646966408096135,0.970619631115106
TCF7L2,19,-0.451830534950201,0.651391070386362,0.970619631115106
IRF1,32,0.447217347491152,0.654718137249024,0.970619631115106
ZBTB33,12,0.442261605299586,0.658299911106006,0.970619631115106
NFKB1,162,-0.430564108607164,0.666785343031998,0.970619631115106
GLI2,16,0.425507991553987,0.670466397145923,0.970619631115106
TCF3,14,0.42344936173425,0.671967436925843,0.970619631115106
FOXL2,22,0.36460294147596,0.715407818806942,0.985483032080572
SREBF2,16,0.363284254302102,0.716392554298567,0.985483032080572
USF2,37,-0.349015546340198,0.727077638292004,0.985483032080572
FOXO4,14,-0.333512726476666,0.738747284485562,0.985483032080572
POU2F2,9,-0.319915056997735,0.749032723410117,0.985483032080572
HNF4A,81,-0.306634158927559,0.759121850284936,0.985483032080572
CDX2,17,0.303589888207251,0.761440356244877,0.985483032080572
TP53,237,0.25654945804301,0.797526595893457,0.985483032080572
RELB,13,0.254231627282752,0.799316618062317,0.985483032080572
SPI1,101,0.239303192431312,0.810870490114426,0.985483032080572
SOX9,13,0.216389252697247,0.828684342936114,0.985483032080572
ARNTL,10,0.212464159412571,0.831744936115201,0.985483032080572
PAX6,13,0.20536023825829,0.837290683459824,0.985483032080572
SP1,315,0.201518960565884,0.840292805142747,0.985483032080572
EPAS1,13,-0.19347742384465,0.846585085169887,0.985483032080572
E2F3,13,0.192375678384249,0.84744794241032,0.985483032080572
ETS1,139,0.188693147943026,0.850333322266756,0.985483032080572
ZNF263,298,0.185910319639497,0.852515089382866,0.985483032080572
MYCN,13,0.182372432372645,0.855290458773384,0.985483032080572
USF1,59,0.16906310229792,0.86574700720466,0.985483032080572
PGR,11,-0.156380500712548,0.875733106253349,0.985483032080572
PPARG,40,0.133850517450096,0.893520779425245,0.985483032080572
JUND,19,-0.125553486041895,0.900085384250587,0.985483032080572
ATF1,20,-0.121216486497081,0.903519566070455,0.985483032080572
PAX8,11,-0.112842319138373,0.910155566770254,0.985483032080572
MYB,25,0.101334783152008,0.919284705335286,0.985483032080572
ELK1,31,-0.100124610680049,0.920245397008799,0.985483032080572
SOX2,10,-0.100005585660334,0.920339890962983,0.985483032080572
NR2F2,18,-0.0922209304718702,0.9265225087937,0.985483032080572
FOXO3,38,-0.0775360825651521,0.938197087923127,0.988910444027079
HNF1A,26,-0.0548623051697665,0.956248162743965,0.9915543645836
GATA2,39,-0.0474564741542407,0.962149419817284,0.9915543645836
FOXO1,42,0.0404812258515668,0.967709474371705,0.9915543645836
STAT6,10,-0.0314137468968052,0.974939578124022,0.9915543645836
VDR,24,0.0179811520345278,0.985653889478814,0.9915543645836
FOSL1,11,0.010585231936816,0.9915543645836,0.9915543645836
