tf	target
AHRR	C1R
ASCL3	HRH4
BCL6B	ACR
DPF1	DLK1
ETV3	VWDE
FOXH1	RELA
FOXI1	CACNG1
FOXI1	SPC25
FOXP3	UPF2
GLIS2	LPXN
KLF11	C15orf62
KLF11	GSTM3
KLF9	DRP2
KLF9	LAMC1
LHX6	CMTM5
MXD3	CRB1
MYC	AMOTL1
MYC	NEK1
MYC	NTN1
NACC2	UBE2N
POU4F1	AHNAK2
REL	SMNDC1
RELA	ESAM
RELA	FOXH1
RORC	TSHZ3
RORC	ST6GALNAC1
RORC	SEMA5A
RORC	SORCS3
SNAI3	ZNF311
SNAI3	TMEM160
TSHZ3	RORC
TSHZ3	FAM161A
ZNF107	RAB24
ZNF20	EYS
ZNF20	CNTF
ZNF20	FAM90A1
ZNF213	ZNF507
ZNF223	ANGPTL4
ZNF223	HIGD1C
ZNF223	ATG10
ZNF30	ZNF311
ZNF311	ZNF30
ZNF311	SNAI3
ZNF311	SLC4A1
ZNF398	SLC25A29
ZNF420	ACR
ZNF420	SNORD11
ZNF469	IFI44L
ZNF469	KCTD4
ZNF483	S1PR1
ZNF496	ITPRIPL1
ZNF507	ZNF213
ZNF507	CRYBG3
ZNF507	TAS2R19
ZNF652	KCNG2
ZNF652	ASPHD2
ZNF75A	SNORD63
